feature,value
wavelet-LHL_glrlm_RunPercentage,0.16892770311030017
wavelet-HHH_glcm_Idm,0.16863033356021412
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.16856040234827147
wavelet-HHH_glcm_Id,0.16813584905575632
wavelet-LLH_ngtdm_Strength,0.16800014997181528
wavelet-LLL_glcm_Idn,0.16790030601424308
lbp-3D-k_glszm_ZonePercentage,0.1678079729005434
wavelet-HLL_glrlm_ShortRunEmphasis,0.16770889343794979
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.16770660791270334
exponential_glrlm_RunLengthNonUniformityNormalized,0.1676686657564178
wavelet-HLH_gldm_DependenceEntropy,0.16764823540382182
wavelet-HHH_glszm_SmallAreaEmphasis,0.16739003263501612
logarithm_glrlm_RunEntropy,0.16738809121743753
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.167332103076785
lbp-2D_glrlm_RunLengthNonUniformityNormalized,0.16717171458387822
lbp-3D-m1_glrlm_RunLengthNonUniformityNormalized,0.16717171458387822
lbp-3D-m2_glrlm_RunLengthNonUniformityNormalized,0.16717171458387822
wavelet-HLL_glcm_ClusterTendency,0.1666268552141365
wavelet-HLL_glrlm_RunPercentage,0.16647614604512628
squareroot_glrlm_ShortRunHighGrayLevelEmphasis,0.16644102142655445
wavelet-LLL_glcm_DifferenceVariance,0.16641435056675594
original_glrlm_RunEntropy,0.1664100484735897
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.16628527903991122
wavelet-LLH_glcm_MaximumProbability,0.16627028844793282
exponential_gldm_DependenceEntropy,0.16623133611669963
lbp-2D_gldm_DependenceEntropy,0.16613312693465962
lbp-3D-m1_gldm_DependenceEntropy,0.16613312693465962
lbp-3D-m2_gldm_DependenceEntropy,0.16613312693465962
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.1658741917793867
lbp-3D-m1_firstorder_10Percentile,0.16580551799819887
logarithm_glszm_ZoneEntropy,0.16579146774513162
original_glszm_ZoneVariance,0.16573342819425801
original_glszm_LargeAreaEmphasis,0.16571169482483425
wavelet-HHL_glrlm_RunVariance,0.1650720243073511
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.1649473019529872
wavelet-LHH_glszm_ZonePercentage,0.16490323785018993
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.16469595847040566
logarithm_glrlm_GrayLevelNonUniformityNormalized,0.1645686398286793
logarithm_ngtdm_Complexity,0.16454712033846522
squareroot_ngtdm_Coarseness,0.16444144206159036
original_glszm_LargeAreaHighGrayLevelEmphasis,0.16443199265368424
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.16424804159356943
wavelet-HLH_gldm_SmallDependenceEmphasis,0.16402352192223002
gradient_glcm_Imc2,0.16389099411791
wavelet-HHH_glrlm_RunEntropy,0.16387891930212128
wavelet-LHL_gldm_DependenceVariance,0.16382397304723642
gradient_glcm_Imc1,0.16379231480437154
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.16373714648949028
wavelet-HLL_glcm_SumSquares,0.16370432499505955
wavelet-HLH_ngtdm_Strength,0.1636817695007766
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.16365576598589046
wavelet-HLL_glcm_JointEnergy,0.1635873388331849
wavelet-LHL_gldm_GrayLevelNonUniformity,0.1635079600926983
squareroot_glrlm_LongRunEmphasis,0.16347482434659516
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.16324173949104234
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.162813349940039
logarithm_glcm_MCC,0.16278258802412976
lbp-3D-m2_firstorder_RootMeanSquared,0.16268639533130527
wavelet-LLH_glszm_GrayLevelVariance,0.16260357471850342
original_glrlm_ShortRunHighGrayLevelEmphasis,0.16258148037163048
original_glrlm_RunPercentage,0.16221143958718456
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.16199600330876632
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.16161122273473866
wavelet-LLL_firstorder_Energy,0.16137073402430044
logarithm_gldm_LargeDependenceEmphasis,0.161346119792321
original_glcm_Imc2,0.16117350306800748
wavelet-HLL_glcm_Contrast,0.16112347687314424
wavelet-LHH_gldm_DependenceEntropy,0.16111648054615677
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.16107337823055348
wavelet-LHL_glcm_Imc2,0.16074757226388559
square_firstorder_Kurtosis,0.16074496492162524
wavelet-LLH_glrlm_RunPercentage,0.1605259455225085
wavelet-LHL_glcm_JointEnergy,0.15996344802619392
