feature,importance
wavelet-HLH_ngtdm_Contrast,0.158996075
logarithm_firstorder_Uniformity,0.158995179
square_glrlm_ShortRunLowGrayLevelEmphasis,0.158902954
squareroot_glrlm_HighGrayLevelRunEmphasis,0.158891199
wavelet-HHL_glszm_GrayLevelVariance,0.158553777
squareroot_firstorder_Mean,0.158203147
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.15792761
wavelet-HLH_firstorder_Range,0.157800916
wavelet-HLH_firstorder_Skewness,0.157727007
lbp-3D-m2_firstorder_10Percentile,0.157720269
lbp-3D-k_glrlm_HighGrayLevelRunEmphasis,0.157610363
lbp-3D-k_glrlm_LowGrayLevelRunEmphasis,0.157610363
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.157505312
original_firstorder_Energy,0.157472338
squareroot_glrlm_GrayLevelNonUniformityNormalized,0.157464627
wavelet-HHL_firstorder_Maximum,0.157438578
wavelet-HLH_firstorder_InterquartileRange,0.157415618
original_glcm_JointEnergy,0.157386396
square_glcm_Imc2,0.157078708
wavelet-LLL_glcm_Contrast,0.157037677
wavelet-HLH_glszm_ZonePercentage,0.156864434
lbp-3D-m2_firstorder_Median,0.156688032
wavelet-HLH_glcm_DifferenceAverage,0.156679725
lbp-3D-k_glszm_SmallAreaHighGrayLevelEmphasis,0.156599715
square_firstorder_Skewness,0.156322092
wavelet-HHL_glrlm_RunEntropy,0.156301029
wavelet-HLL_gldm_SmallDependenceEmphasis,0.156284638
wavelet-HLH_glszm_GrayLevelVariance,0.15627671
squareroot_firstorder_Skewness,0.156247317
exponential_gldm_SmallDependenceEmphasis,0.156103076
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.156072592
squareroot_firstorder_10Percentile,0.156054793
squareroot_firstorder_Entropy,0.156026592
lbp-3D-k_gldm_DependenceNonUniformity,0.156020653
wavelet-HLL_gldm_DependenceVariance,0.155907119
lbp-3D-m2_firstorder_Skewness,0.155882966
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.155782137
wavelet-LHH_firstorder_InterquartileRange,0.155514605
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.155416686
wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.155394762
squareroot_gldm_HighGrayLevelEmphasis,0.155340328
